,scan_1,scan_2,scan_3,scan_4,scan_5,scan_6,scan_7,scan_8,scan_9,scan_10,real,timestamp
0.0,0.4118279329655046,0.38079615292814173,0.39008039653627447,0.4126459767873786,0.4200127009879589,0.314510129112357,0.3297702246312513,0.42371641636095064,0.44334488103909586,0.4378050959086985,0.409185356960999,2021-08-02 00:00:00
1.0,0.422650372501148,0.4087946598853601,0.3205825374926836,0.3978516765084855,0.3982055630316826,0.409881610931308,0.38427888888427375,0.42443877081361775,0.41396970102443875,0.43049202011926346,0.4091853569332258,2021-08-02 01:00:00
2.0,0.4322021124920751,0.39777260262427744,0.3784269269151584,0.38087996161368454,0.3981539850251697,0.37620219134409066,0.4046948346501878,0.4071913851619589,0.455357751557363,0.4227945128936845,0.4091853569612538,2021-08-02 02:00:00
3.0,0.46839352269582585,0.4276177970148299,0.4208163354340422,0.36473164986171913,0.38685073109845197,0.38923201637837324,0.38074141525330946,0.37456330897286466,0.4687611151581822,0.3902573235118852,0.4091853569311874,2021-08-02 03:00:00
4.0,0.44012799329732183,0.49172309047472806,0.5221932481739331,0.4012160650286117,0.3785241400720707,0.4557506965699665,0.3894636570460366,0.3631436142214959,0.7447797627043248,0.3921014796498937,0.4056821266034657,2021-08-02 04:00:00
5.0,0.42748391561057253,0.3941211849541366,0.2483382808734259,0.3294070608852859,0.45410162646940333,0.5210983179016008,0.42480812010920693,0.4024386203346008,0.4801362158140855,0.47683927125083037,0.3908099643701837,2021-08-02 05:00:00
6.0,0.3308893408026373,0.3326103978723688,0.35749023018655224,0.3387794978549308,0.3186587874362815,0.28274016236532107,0.35112173404403846,0.33018678103498034,0.3847995524886522,0.8030653827687667,0.395253653539087,2021-08-02 06:00:00
7.0,0.1970174085718486,0.284050430588145,0.32717124271894266,0.32832917642292103,0.3115237898892928,0.3281220169436214,0.3359460843794214,0.754726274019806,0.3563927981163626,0.34070283073950663,0.4328658085642102,2021-08-02 07:00:00
8.0,0.28400666766773874,0.3086143489400432,0.3372424454985947,0.28795994092631794,0.2177795525671624,0.23281495817348008,0.24251122179430706,0.6001954891824923,0.3224670701357402,0.32332839191977514,0.3248064571391166,2021-08-02 08:00:00
9.0,0.37267027859778273,0.4868365220377685,0.39656914061495463,0.36661183495774385,0.32530291265578637,0.16425861384734375,0.33308595354932335,0.4964215907847892,0.6857993451559574,0.3565402900033132,0.207483536649996,2021-08-02 09:00:00
10.0,0.37566820475684964,0.3819692136685712,0.469316674634505,0.39976270072230724,0.3785687242515556,0.18455390723281653,0.31389582925760884,0.43398410413760435,0.48080944829003885,0.24768863651645473,0.1974846865674257,2021-08-02 10:00:00
11.0,0.15101022322899335,0.28421008320594676,0.22987682730208397,0.3345483796148215,0.1901287872147094,0.3108708709795666,0.1513147138208651,0.19507289492041788,0.31087552113631844,0.2365454238031436,0.3361732506294699,2021-08-02 11:00:00
12.0,0.1686651966485781,0.2616743462215689,0.23052005486125401,0.32599755014043835,0.11338825382966462,0.34335351543907844,0.09296391034082202,0.22781097052603544,0.19169030406009407,0.17835529521628357,0.6807893060655672,2021-08-02 12:00:00
13.0,0.3212368979415034,0.17388494128314014,0.15745533157051833,0.2620691105584756,0.15189310880694024,0.32677969384658356,0.11238583863227755,0.1901832733846901,0.18404775709569454,0.1887234747004205,0.4795662749490227,2021-08-02 13:00:00
14.0,0.2623320747829923,0.23053551438787176,0.16916852123017265,0.1469407159073316,0.1490414354449605,0.3203061807496528,0.17099950136590986,0.1521668096659956,0.2587045279731624,0.3955180581706892,0.4853116570554063,2021-08-02 14:00:00
15.0,0.35958574799795623,0.35877944781574683,0.34254960777797117,0.24726496185673044,0.20163916490204498,0.4486536173530081,0.22191147382573953,0.09788972560422587,0.3905327506878504,0.5500956258063084,0.5178538603923447,2021-08-02 15:00:00
16.0,0.6034237365378975,0.3932616529944978,0.5973178809840987,0.3345436683227626,0.586364331346798,0.5969114625737917,0.32482412882196887,0.13040976693773107,0.4572584243756925,0.39606918238971617,0.7349322654221436,2021-08-02 16:00:00
17.0,0.6598048231661265,0.4053145686922953,0.5810893726626336,0.401183726431333,0.4414972640445355,0.4499063862105607,0.39397235759619864,0.26876601142579626,0.40450018651962877,0.4078348759180969,0.4037028774372902,2021-08-02 17:00:00
18.0,0.39115949498306246,0.39367751787013455,0.6601255231767177,0.5157339872980485,0.6034654778127496,0.5413463643701223,0.38008851226205687,0.4046878337555865,0.3945666298811195,0.39261645529393896,0.4091853570241894,2021-08-02 18:00:00
19.0,0.4859915982009426,0.4072157956057801,0.5374791967469695,0.490717887340307,0.5205400403499933,0.4749739089763411,0.3431944946025426,0.47398354365748196,0.44255846929977827,0.4538991923286696,0.4091853573220509,2021-08-02 19:00:00
20.0,0.4004672506641127,0.322828396387942,0.4249305665783934,0.38443060437272364,0.4236300813538559,0.5146830995770997,0.33759965833381317,0.4601700803008977,0.4207816824938639,0.44958789708912966,0.4091853567920664,2021-08-02 20:00:00
21.0,0.4010979199857223,0.44734229901437855,0.4450667157820723,0.38603608023068536,0.4489334219780872,0.40021320852210523,0.3768019651696169,0.38147068568482756,0.3947186248196948,0.45863627449274663,0.4091853569742486,2021-08-02 21:00:00
22.0,0.4263652079338513,0.6494619073081177,0.4590701362879996,0.4159733893336191,0.4803556591100147,0.40945087294330423,0.4123938687274759,0.4088563378301372,0.3871797282987237,0.6600948692988038,0.4091853569490234,2021-08-02 22:00:00
23.0,0.3720808657111565,0.4868084788246172,0.4216634658396679,0.4149961086276529,0.41463028528310164,0.4058272350711799,0.4047093267719012,0.4219355563654041,0.4082747929573214,0.39239607660536274,0.409185356949533,2021-08-02 23:00:00
0.0,0.4383921500913617,0.4120027313354745,0.41093633565875337,0.3631898208288205,0.4141970008192127,0.3886854613263668,0.3987298363036245,0.39728640675143007,0.43668303190494523,0.40036876669898364,0.4091853569592154,2021-08-03 00:00:00
1.0,0.4338237196267764,0.4123766321362763,0.40959704932346325,0.35763920465731963,0.4000196681243285,0.397698151231041,0.4111184240366846,0.41162209237566616,0.4305827501042215,0.376348270897812,0.4091853570152715,2021-08-03 01:00:00
2.0,0.44144358896198665,0.41850253028156376,0.4052208997595305,0.3482005074925392,0.40090257152546577,0.4279607198943451,0.4108325634598395,0.43805387755031255,0.39860683831709687,0.41580533557198335,0.4091853569592154,2021-08-03 02:00:00
3.0,0.4186439440162142,0.40939198860343035,0.412205256043568,0.38533327767893955,0.38388707719364074,0.38035758431002026,0.38620291282292524,0.388616775845638,0.40903146586985895,0.35526968125924735,0.4091853569373026,2021-08-03 03:00:00
4.0,0.4365265101549343,0.4249037117746364,0.40393363034388,0.3892687351304977,0.3837774155359544,0.4129023229425488,0.4134842645068174,0.3857931721585165,0.39461656540552714,0.44365083073176687,0.4046433416560299,2021-08-03 04:00:00
5.0,0.4296015960308879,0.4282084035135848,0.40881080305464224,0.38452924495217616,0.4779063001584016,0.5084140994041806,0.38562645602512907,0.4290640933400227,0.3849763541307147,0.5061933593624515,0.3895446149866679,2021-08-03 05:00:00
6.0,0.5166547527624606,0.49021331043131283,0.5417995050513671,0.34106020402676324,0.43080915200992387,0.7878659076452964,0.42138833409844784,0.5202735865884051,0.5067863295206094,0.4309027797515519,0.3691472204520388,2021-08-03 06:00:00
7.0,0.33151164602472666,0.3794776516147087,0.37888914962401515,0.2740368116134943,0.3403361576279975,0.4578907756685258,0.3820744423639125,0.2840731370359576,0.41412737821307216,0.3629633241600135,0.3287799302627829,2021-08-03 07:00:00
8.0,0.19470761216405943,0.31989039292453175,0.28608714704185056,0.2286821465118113,0.2419821627054521,0.31084214692691187,0.30417400316544185,0.2460397432148119,0.3697188042776903,0.28210558054943813,0.3106182700304187,2021-08-03 08:00:00
9.0,0.25894792250257714,0.26605666158678437,0.2746664637582387,0.16367829963620142,0.2725887985538398,0.33919509074764875,0.24080202327155897,0.31053335312754754,0.28199908673711366,0.29833187862987215,0.2466474583951403,2021-08-03 09:00:00
10.0,0.19883837464447443,0.3408096868069826,0.3250315480802049,0.19564797403850126,0.3200270749415475,0.39921285048179006,0.15423334998196267,0.3785546155645039,0.48365648690283497,0.26702546701190166,0.2047861084868356,2021-08-03 10:00:00
11.0,0.3438747094230477,0.3990456743233653,0.42231011336716756,0.33101450544028543,0.5811821985990051,0.3603252315692027,0.3534821810256548,0.5187648807702129,0.7346654830897622,0.3358858017503303,0.3447036896125715,2021-08-03 11:00:00
12.0,0.21369626909336892,0.4582950580913182,0.4690340206510519,0.3184429003142085,0.5007279689260672,0.3794050599276675,0.3703238838273041,0.8191270064019454,0.47011527296785294,0.4055180101330633,0.8367610408375261,2021-08-03 12:00:00
13.0,0.3985236525561589,0.5410222307868398,0.34845954192042533,0.3628649743240513,0.39042177613679063,0.3992675531569347,0.4772860997311892,0.6359631518975193,0.46021831546631264,0.2663326737719439,0.5376784210458819,2021-08-03 13:00:00
14.0,0.32956105833990906,0.3660911488686588,0.2437068889897497,0.2857373731501008,0.4397491490539339,0.5343004566056158,0.4560579723760139,0.4947936340704853,0.40259129975125885,0.3079481698154653,0.6958880334463314,2021-08-03 14:00:00
15.0,0.6619724102184205,0.47694801330865555,0.3143545240035839,0.2801943552817139,0.5533992413214062,0.6958538463433872,0.7081585394812316,0.41515964563557783,0.4133434581735803,0.23743216515146437,0.7940404485159901,2021-08-03 15:00:00
16.0,0.693688667106041,0.36734869620894856,0.3539567479916677,0.335416889744544,0.4112901168921414,0.605948754421323,0.5473879998165401,0.49461953253578944,0.4585083412619773,0.3721692699895545,0.3261915182929423,2021-08-03 16:00:00
17.0,0.5141779623617688,0.4129987991008731,0.39015873168384685,0.386108653704315,0.3866557479747864,0.3930973285989669,0.40872695140621457,0.4091513444283722,0.6807684916584388,0.3955111117600299,0.405064413327287,2021-08-03 17:00:00
18.0,0.45787420428269826,0.562377140338424,0.43028933045978396,0.5982126394795795,0.5899230964781519,0.29879507079238454,0.4292767129082259,0.571601744735541,0.5453230300425563,0.44604519857257635,0.4091853572405148,2021-08-03 18:00:00
19.0,0.41107700859066565,0.42500044036499773,0.5308619218864188,0.46340660141750484,0.5716050560540533,0.3857534468161138,0.5114147431715145,0.44594816469439785,0.6671676039961827,0.5850471177308212,0.4091853574688158,2021-08-03 19:00:00
20.0,0.4105337263189359,0.4901160183161383,0.3643167229047167,0.3979508113215872,0.49093326986255326,0.4199747826032074,0.6033853186345253,0.556114098164661,0.7578765722724247,0.4147483471676921,0.409185357457753,2021-08-03 20:00:00
21.0,0.48336225625183543,0.39761405433765257,0.4638632040388561,0.4364016588984242,0.42402796412657245,0.5128535003373895,0.6668913996633417,0.4774254045502858,0.5561154719422737,0.39355631075203007,0.4091853568919901,2021-08-03 21:00:00
22.0,0.4570232339889857,0.3859341407922881,0.5596473245130534,0.6450561565770812,0.43166044613056254,0.43881857300784044,0.41213553369631445,0.5463854126230077,0.5759559140294833,0.49487699091670856,0.4091853568654489,2021-08-03 22:00:00
23.0,0.41058355594192364,0.4039051406442801,0.4203723534681621,0.60170230558656,0.4367763322035527,0.4895047512356471,0.4083948947589471,0.6954213722168193,0.4041681855939872,0.3964581532693343,0.4091853569371961,2021-08-03 23:00:00
0.0,0.41267665399042597,0.3822533370222131,0.4379204781912284,0.4626660931476652,0.4127585607521291,0.40059524941301855,0.7355465646222543,0.3738649079795908,0.47592605514450126,0.3960272265516604,0.409185356925327,2021-08-04 00:00:00
1.0,0.38887011033704977,0.44107293241391254,0.4180649506823845,0.3841218077184488,0.3207976985063341,0.3756186955867052,0.6254307484981914,0.3830901098751457,0.43072065166146956,0.3699138160310162,0.4091853569209954,2021-08-04 01:00:00
