,scan_1,scan_2,scan_3,scan_4,scan_5,scan_6,scan_7,scan_8,scan_9,scan_10,real,timestamp
0.0,0.6417867617582815,0.9206304281419546,0.6095199571609403,0.5163872346415666,0.31571810981768256,0.24338879776640765,0.29568239513237327,0.43871110692125737,0.4226289714332782,0.9757767598986332,0.409185356960999,2021-08-02 00:00:00
1.0,0.42260571467256036,0.5127143406248922,0.5507741695338654,0.4450418961170433,0.5444503412790468,0.07679932076919131,0.17373405534181918,0.15848905830136556,0.32958644404747384,0.9887930752811819,0.4091853569332258,2021-08-02 01:00:00
2.0,0.12893310151304194,0.4566256348223584,0.46265190429673314,0.8725392801444629,0.7444563255232716,0.5739231704183198,0.3779682793133728,0.3260235270517551,0.39271196764855576,0.9910790499776172,0.4091853569612538,2021-08-02 02:00:00
3.0,0.16853191889593583,0.7388322617566112,0.4720566356787613,0.8526837603510166,0.7644875083461964,0.27839537021211375,0.2809936622880521,0.16019712416470233,0.7185721261971737,0.9968575860635759,0.4091853569311874,2021-08-02 03:00:00
4.0,0.4415308817226653,0.5687519361126755,0.7117392253268613,0.4443682164691174,0.8742207119546006,0.5710215944138383,0.6529416072915128,0.3377901674926289,0.6044424361450812,0.952693754707296,0.4056821266034657,2021-08-02 04:00:00
5.0,0.9028708431522932,0.6244523991649262,0.6862727635653474,0.5291127318923534,0.9521909101126624,0.8265291027384705,0.28478959926753,0.6880762980475481,0.380785920734319,0.9775695600546199,0.3908099643701837,2021-08-02 05:00:00
6.0,0.7890507596343126,0.6654383736534255,0.772956663420292,0.15138341693716367,0.940175375271864,0.7305406843722729,0.2738810850370852,0.880572860706516,0.6362578566681406,0.7722053608845953,0.395253653539087,2021-08-02 06:00:00
7.0,0.8243526977836813,0.20067716211404496,0.8115630643651744,0.186017107019251,0.6299547625285803,0.7627970514708733,0.17798621054053587,0.8243167318385018,0.5151403202255912,0.7496541327835271,0.4328658085642102,2021-08-02 07:00:00
8.0,0.6995696264956976,0.2932664541692246,0.7984462252793907,0.48011642930713383,0.7047065147812599,0.28443710839511516,0.2648342682796328,0.6908733708100357,0.7320526136954295,0.6886995522733949,0.3248064571391166,2021-08-02 08:00:00
9.0,0.9038892081137486,0.421490866928938,0.7370346306880395,0.5579721686188948,0.23910921534445284,0.2587360326769445,0.29868213736659277,0.3977544074122199,0.41914812649420863,0.8888367382628688,0.207483536649996,2021-08-02 09:00:00
10.0,0.9759661086837904,0.26748344006867486,0.5568543188658108,0.7742727687048268,0.46947906648256293,0.44275010329263903,0.268688545530924,0.4193713375934308,0.8845491422939054,0.9322862836596124,0.1974846865674257,2021-08-02 10:00:00
