Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
7,24,7,0,,,,2.2758,0,0,0,0
8,1,1,0,,,,0.851166666666667,0,0,0,0
8,2,1,0,,,,0.8346,0,0,0,0
8,3,1,0,,,,0.838166666666668,0,0,0,0
8,4,1,0,,,,1.47843333333333,0,0,0,0
8,5,1,0,,,,1.2562,0,0,0,0
8,6,1,0,,,,1.86951666666667,0,0,0,14.5041666666667
8,7,1,0,,,,0.808816666666667,0,0,0,111.520833333333
8,8,1,0,,,,0.615966666666667,0,0,0,276.470833333333
8,9,1,0,,,,0.627233333333333,0,0,0,453.025
8,10,1,0,,,,0.618066666666667,0,0,0,606.9625
8,11,1,0,,,,0.645133333333333,0,0,0,712.75
8,12,1,0,,,,0.764433333333333,0,0,0,759.825
8,13,1,0,,,,1.4323,0,0,0,751.2625
8,14,1,0,,,,1.90183333333333,0,0,0,689.675
8,15,1,0,,,,1.72998333333333,0,0,0,581.275
8,16,1,0,,,,1.39143333333333,0,0,0,422.425
8,17,1,0,,,,1.0301,0,0,0,242.6
8,18,1,0,,,,1.38381666666667,0,0,0,82.2416666666667
8,19,1,0,,,,1.03191666666667,0,0,0,6.23333333333333
8,20,1,0,,,,3.60398333333333,0,0,0,0
8,21,1,0,,,,5.0085,0,0,0,0
8,22,1,0,,,,3.89621666666667,0,0,0,0
8,23,1,0,,,,3.55708333333333,0,0,0,0
8,24,1,0,,,,1.41133333333333,0,0,0,0
8,1,2,0,,,,0.979416666666666,0,0,0,0
8,2,2,0,,,,0.900975,0,0,0,0
8,3,2,0,,,,0.922433333333333,0,0,0,0
8,4,2,0,,,,0.910483333333334,0,0,0,0
8,5,2,0,,,,1.0103,0,0,0,0
8,6,2,0,,,,1.29768333333333,0,0,0,14.0958333333333
8,7,2,0,,,,1.19226666666667,0,0,0,109.620833333333
8,8,2,0,,,,1.22346666666667,0,0,0,269.425
8,9,2,0,,,,1.08268333333333,0,0,0,446.891666666667
8,10,2,0,,,,0.667666666666667,0,0,0,594.033333333333
8,11,2,0,,,,0.6661,0,0,0,698.3125
8,12,2,0,,,,0.645683333333333,0,0,0,751.033333333333
8,13,2,0,,,,1.16461666666667,0,0,0,738.583333333333
8,14,2,0,,,,1.44358333333333,0,0,0,681.166666666667
8,15,2,0,,,,0.86195,0,0,0,571.229166666667
8,16,2,0,,,,0.76175,0,0,0,419.520833333333
8,17,2,0,,,,2.94046666666667,0,0,0,242.975
8,18,2,0,,,,2.45576666666667,0,0,0,83.2083333333333
8,19,2,0,,,,5.26401666666667,0,0,0,6.90416666666667
8,20,2,0,,,,5.19293333333333,0,0,0,0
8,21,2,0,,,,3.93188333333333,0,0,0,0
8,22,2,0,,,,1.89485,0,0,0,0
8,23,2,0,,,,1.35336666666667,0,0,0,0
8,24,2,0,,,,1.79045,0,0,0,0
8,1,3,0,,,,0.964333333333335,0,0,0,0
8,2,3,0,,,,0.969783333333334,0,0,0,0
8,3,3,0,,,,0.980033333333333,0,0,0,0
8,4,3,0,,,,0.973683333333333,0,0,0,0
8,5,3,0,,,,1.41885,0,0,0,0
8,6,3,0,,,,1.82836666666667,0,0,0,17.4333333333333
8,7,3,0,,,,1.46701666666667,0,0,0,120.966666666667
8,8,3,0,,,,0.973216666666666,0,0,0,276.358333333333
8,9,3,0,,,,1.48413333333333,0,0,0,434.05
8,10,3,0,,,,1.87853333333333,0,0,0,579.458333333333
8,11,3,0,,,,2.6247,0,0,0,722.908333333333
8,12,3,0,,,,2.36441666666667,0,0,0,763.475
8,13,3,0,,,,1.7574,0,0,0,756.404166666667
8,14,3,0,,,,2.00726666666667,0,0,0,695.579166666667
8,15,3,0,,,,1.04626666666667,0,0,0,582.054166666667
8,16,3,0,,,,0.6874,0,0,0,423.633333333333
8,17,3,0,,,,0.661116666666666,0,0,0,244.9
8,18,3,0,,,,2.25715,0,0,0,79.8333333333333
8,19,3,0,,,,1.56946666666667,0,0,0,5.1875
8,20,3,0,,,,4.68778333333334,0,0,0,0
8,21,3,0,,,,4.03958333333333,0,0,0,0
8,22,3,0,,,,2.9469,0,0,0,0
8,23,3,0,,,,2.2459,0,0,0,0
8,24,3,0,,,,0.912883333333333,0,0,0,0
8,1,4,0,,,,0.833349999999999,0,0,0,0
8,2,4,0,,,,0.809299999999999,0,0,0,0
8,3,4,0,,,,0.826049999999999,0,0,0,0
8,4,4,0,,,,0.820566666666666,0,0,0,0
8,5,4,0,,,,1.21383333333333,0,0,0,0
8,6,4,0,,,,0.776,0,0,0,10.4916666666667
8,7,4,0,,,,0.831266666666667,0,0,0,112.4625
8,8,4,0,,,,0.57005,0,0,0,228.883333333333
8,9,4,0,,,,0.84525,0,0,0,386.358333333333
8,10,4,0,,,,1.25436666666667,0,0,0,604.270833333333
8,11,4,0,,,,0.533933333333333,0,0,0,703.408333333333
8,12,4,0,,,,0.517383333333333,0,0,0,753.316666666667
8,13,4,0,,,,1.53225,0,0,0,748.770833333333
8,14,4,0,,,,1.41865,0,0,0,693.304166666667
8,15,4,0,,,,0.573383333333333,0,0,0,583.025
8,16,4,0,,,,0.72395,0,0,0,420.066666666667
8,17,4,0,,,,1.83753333333333,0,0,0,236.779166666667
8,18,4,0,,,,4.25413333333333,0,0,0,77.5166666666667
8,19,4,0,,,,4.29293333333334,0,0,0,5.14583333333333
8,20,4,0,,,,4.10335,0,0,0,0
8,21,4,0,,,,2.7808,0,0,0,0
8,22,4,0,,,,2.14788333333333,0,0,0,0
8,23,4,0,,,,1.98121666666667,0,0,0,0
8,24,4,0,,,,1.10938333333333,0,0,0,0
8,1,5,0,,,,1.01176666666667,0,0,0,0
8,2,5,0,,,,2.18976666666667,0,0,0,0
8,3,5,0,,,,2.18163333333333,0,0,0,0
8,4,5,0,,,,1.71535,0,0,0,0
8,5,5,0,,,,0.993433333333333,0,0,0,0
8,6,5,0,,,,1.92805,0,0,0,13.7916666666667
8,7,5,0,,,,0.92415,0,0,0,122.141666666667
8,8,5,0,,,,0.734633333333334,0,0,0,277.895833333333
8,9,5,0,,,,0.84395,0,0,0,455.7125
8,10,5,0,,,,0.742850000000001,0,0,0,607.9625
8,11,5,0,,,,0.689433333333333,0,0,0,713.720833333333
8,12,5,0,,,,0.708133333333333,0,0,0,765.3125
8,13,5,0,,,,0.637275,0,0,0,759.566666666667
8,14,5,0,,,,0.655183333333333,0,0,0,699.320833333333
8,15,5,0,,,,0.63085,0,0,0,589.116666666667
8,16,5,0,,,,0.655716666666667,0,0,0,429.95
8,17,5,0,,,,1.01986666666667,0,0,0,246.525
8,18,5,0,,,,2.74013333333333,0,0,0,81.2625
8,19,5,0,,,,2.04818333333333,0,0,0,4.19166666666667
8,20,5,0,,,,3.05803333333333,0,0,0,0
8,21,5,0,,,,3.6221,0,0,0,0
8,22,5,0,,,,3.5694,0,0,0,0
8,23,5,0,,,,2.34493333333333,0,0,0,0
8,24,5,0,,,,2.20841666666667,0,0,0,0
8,1,6,0,,,,1.1773,0,0,0,0
8,2,6,0,,,,1.06665,0,0,0,0
